		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
TPD52L2	IPI00306825_TPD52L2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	2.75	0.00	0.00	0.00	3.06	2.18
NUMA1	IPI00006196_NUMA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.11	0.00
SEC23A	IPI00017375_SEC23A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	0.00	0.00	0.00	3.67	0.00
EIF5	IPI00022648_EIF5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	3.67	3.26
GCLC	IPI00215768_GCLC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	4.35
TYMP	IPI00292858_TYMP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.30	0.00	0.00	0.00	0.00	0.00
CRELD2	IPI00419731_CRELD2	0.00	0.00	0.00	8.87	16.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PAFAH1B2	IPI00026546_PAFAH1B2	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	4.12	0.00	0.00	2.10	0.00	2.18
HNRNPM	IPI00171903_HNRNPM	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
SKP1	IPI00301364_SKP1	0.00	2.56	0.00	0.00	0.00	0.00	3.01	3.73	2.63	0.00	3.09	3.06	2.10	3.06	0.00
IPO9	IPI00185146_IPO9	2.25	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.72
CLN5	IPI00026050_CLN5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	12.25	0.00	0.00	0.00
TCOF1	IPI00815944_TCOF1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	4.28	0.00
BLVRB	IPI00783862_BLVRB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	2.75	0.00	0.00	0.00	0.00	0.00
PAPL	IPI00793512_PAPL	4.49	4.27	4.44	4.44	6.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CORO1B	IPI00007058_CORO1B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	6.87	0.00	0.00	2.10	5.50	2.72
ACTN2	IPI01010507_ACTN2	7.86	8.54	7.11	0.00	11.60	6.60	10.01	13.98	10.54	16.48	3.09	0.00	7.35	7.34	8.70
LOC728026	IPI00940842_LOC728026	0.00	0.00	0.00	0.00	8.12	0.00	3.01	3.73	2.63	0.00	0.00	4.59	0.00	0.00	0.00
LAMP1	IPI00884105_LAMP1	0.00	3.42	2.67	2.96	0.00	0.00	3.01	0.00	0.00	0.00	0.00	0.00	3.15	0.00	0.00
RAD23A	IPI00008219_RAD23A	2.25	0.00	2.67	0.00	2.32	3.30	3.01	0.00	5.27	2.06	3.09	0.00	4.20	2.45	0.00
GOT2	IPI00018206_GOT2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00
KHDRBS1	IPI00008575_KHDRBS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
MGAT5	IPI00020407_MGAT5	0.00	0.00	0.00	8.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KRT5	IPI00009867_KRT5	2.25	2.56	0.00	0.00	3.48	0.00	0.00	0.00	2.63	2.75	3.09	7.65	2.10	5.50	4.35
GNPTG	IPI00000137_GNPTG	2.25	3.42	4.44	0.00	0.00	0.00	2.01	0.00	0.00	0.00	12.37	3.06	2.10	0.00	0.00
SNRNP70	IPI00290204_SNRNP70	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	3.26
MMP10	IPI00013405_MMP10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	4.89	8.16
ANP32E	IPI00165393_ANP32E	3.37	4.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	10.71	0.00	2.45	2.18
HNRPDL	IPI00011274_HNRPDL	2.25	2.56	0.00	0.00	0.00	0.00	0.00	0.00	3.95	3.43	7.73	7.65	3.15	3.67	2.72
EFNB1	IPI00024307_EFNB1	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	3.09	0.00	4.20	2.45	0.00
DLD	IPI00015911_DLD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00
RUVBL1	IPI00021187_RUVBL1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	4.89	4.90
TPM2	IPI00646748_TPM2	5.62	5.13	4.44	2.96	4.64	11.55	6.03	3.73	17.13	9.61	0.00	3.06	6.30	3.06	3.26
ATP6AP2	IPI00168884_ATP6AP2	2.25	3.42	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	7.73	4.59	0.00	0.00	0.00
P4HA2	IPI00182373_P4HA2	0.00	0.00	0.00	7.39	11.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IARS	IPI00644127_IARS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.11	3.26
FLJ53223	IPI00984546_FLJ53223	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	4.28	3.81
HINT2	IPI00000335_HINT2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.90	8.92	0.00	0.00	0.00	0.00	0.00
SCN3A	IPI00020692_SCN3A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PPIC	IPI00024129_PPIC	0.00	3.42	0.00	2.96	0.00	0.00	0.00	0.00	0.00	0.00	4.64	9.18	0.00	0.00	0.00
CTBS	IPI00007778_CTBS	0.00	0.00	0.00	0.00	2.32	0.00	8.04	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C14ORF166	IPI00006980_C14ORF166	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	3.09	3.06	0.00	3.67	2.18
PTPRJ	IPI00290328_PTPRJ	0.00	5.13	2.67	0.00	3.48	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C4B	IPI00654875_C4B	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	3.43	0.00	3.06	0.00	0.00	0.00
AIMP1	IPI00793201_AIMP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	3.09	3.06	2.10	0.00	0.00
TGFB1	IPI00000075_TGFB1	0.00	5.13	3.55	0.00	0.00	0.00	4.02	3.73	0.00	0.00	0.00	9.18	0.00	0.00	0.00
PPP1R12A	IPI00183002_PPP1R12A	4.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	2.06	0.00	0.00	0.00	2.45	3.26
SNRPB	IPI00027285_SNRPB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.72
FST	IPI00021081_FST	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	2.72
ARCN1	IPI00514053_ARCN1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	2.10	3.06	0.00
CRKL	IPI00004839_CRKL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	3.81
S100A14	IPI00010214_S100A14	0.00	0.00	0.00	0.00	0.00	4.95	0.00	0.00	2.63	0.00	0.00	0.00	3.15	6.73	5.44
ISG15	IPI00375631_ISG15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.73	0.00	2.75	0.00	0.00	0.00	0.00	2.72
SF3A1	IPI00017451_SF3A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.73	6.53
ATF4	IPI00002503_ATF4	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	2.63	0.00	3.09	4.59	0.00	0.00	0.00
PKD1	IPI00028786_PKD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
YAP1	IPI00009326_YAP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	3.26
DIAPH1	IPI00936125_DIAPH1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	4.35
NEU1	IPI00029817_NEU1	0.00	5.13	2.67	0.00	0.00	0.00	0.00	0.00	2.63	2.06	0.00	0.00	0.00	2.45	0.00
ENO2	IPI00216171_ENO2	20.22	17.09	19.55	14.79	26.67	113.90	41.19	33.55	144.91	81.69	83.48	58.17	89.27	45.86	84.33
BAG3	IPI00641582_BAG3	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	3.06	4.35
COPB1	IPI00295851_COPB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	4.28	3.81
VLDLR	IPI00219353_VLDLR	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DDX17	IPI00889541_DDX17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.73	4.59	0.00	3.06	3.26
SPON2	IPI00305975_SPON2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	3.67	3.81
SERPINA1	IPI00553177_SERPINA1	0.00	0.00	0.00	0.00	0.00	8.25	13.06	8.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NME1	IPI00012048_NME1	11.24	13.67	9.77	4.44	9.28	6.60	11.05	9.32	6.59	5.49	18.55	16.84	9.45	7.34	5.98
MAP1B	IPI00008868_MAP1B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EPPK1	IPI00010951_EPPK1	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BANF1	IPI00026087_BANF1	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	3.09	0.00	2.10	2.45	3.26
URB1	IPI00297241_URB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
STK24	IPI00641189_STK24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	2.45	0.00
AHSA1	IPI00030706_AHSA1	0.00	0.00	0.00	0.00	0.00	0.00	3.01	4.66	0.00	0.00	0.00	0.00	0.00	2.45	2.72
BCCIP	IPI00002203_BCCIP	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	2.18
OLFML2A	IPI00385326_OLFML2A	2.25	5.98	5.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	3.67	4.35
PLAUR	IPI00010676_PLAUR	0.00	4.27	0.00	0.00	0.00	0.00	3.01	3.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VARS	IPI00000873_VARS	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	0.00
RPS19	IPI00215780_RPS19	4.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	3.06	0.00	3.06	2.18
CPNE1	IPI00894409_CPNE1	0.00	0.00	0.00	0.00	0.00	6.60	5.02	3.73	3.95	0.00	3.09	0.00	0.00	0.00	0.00
GTPBP1	IPI00010463_GTPBP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GLT25D1	IPI00168262_GLT25D1	0.00	0.00	0.00	2.96	8.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SMS	IPI00005102_SMS	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	3.26
METAP2	IPI00033036_METAP2	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
RSU1	IPI00017256_RSU1	5.62	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	3.15	2.45	2.18
HEBP2	IPI00644697_HEBP2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	4.66	3.95	0.00	0.00	3.06	0.00	3.06	2.72
CHST11	IPI00099831_CHST11	3.37	7.69	8.00	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.12	0.00	0.00	0.00
ERO1L	IPI00386755_ERO1L	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	0.00	0.00	0.00	0.00
ANXA3	IPI00024095_ANXA3	0.00	0.00	0.00	0.00	0.00	0.00	3.01	5.59	0.00	4.81	0.00	0.00	0.00	0.00	0.00
SSRP1	IPI00005154_SSRP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	6.11	4.35
C1ORF116	IPI00028392_C1ORF116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	2.10	6.73	4.90
MYO18B	IPI00306929_MYO18B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYL12B	IPI00033494_MYL12B	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	3.26
HNRNPH1	IPI00479191_HNRNPH1	5.62	0.00	0.00	0.00	0.00	3.30	4.02	0.00	3.95	2.06	17.01	12.25	3.15	0.00	3.81
UBE2D3	IPI00026965_UBE2D3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	3.09	0.00	2.10	3.06	0.00
COL5A1	IPI00844090_COL5A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
COL14A1	IPI00550918_COL14A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	0.00	0.00	0.00	0.00
HIST2H3A	IPI00171611_HIST2H3A	3.37	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	0.00	9.18	0.00	0.00	0.00
CAP1	IPI00939159_CAP1	6.74	6.84	12.44	0.00	6.96	3.30	3.01	6.52	9.22	12.36	0.00	3.06	6.30	12.84	9.79
ADH5	IPI00746777_ADH5	0.00	0.00	3.55	0.00	0.00	0.00	0.00	0.00	2.63	2.06	0.00	0.00	0.00	2.45	2.72
CAPN1	IPI00011285_CAPN1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	3.06	0.00
ADK	IPI00234368_ADK	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	3.26
SLC25A10	IPI00005537_SLC25A10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	4.64	4.59	0.00	0.00	0.00
PDGFD	IPI00011865_PDGFD	0.00	4.27	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.71	0.00	0.00	0.00
EIF2S2	IPI00021728_EIF2S2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	3.06	2.18
IGFBPL1	IPI00291987_IGFBPL1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.28	13.78	0.00	0.00	0.00
PTPRZ1	IPI00748312_PTPRZ1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
SNRPF	IPI00220528_SNRPF	0.00	2.56	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	3.09	0.00	2.10	0.00	2.18
GALNS	IPI00029605_GALNS	0.00	2.56	2.67	0.00	4.64	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTL6A	IPI00003627_ACTL6A	0.00	0.00	0.00	0.00	0.00	4.95	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
EFTUD2	IPI00003519_EFTUD2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
APOH	IPI00298828_APOH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
DPP7	IPI00296141_DPP7	0.00	0.00	0.00	7.39	9.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ITGAV	IPI00922108_ITGAV	0.00	0.00	0.00	2.96	6.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BCHE	IPI00025864_BCHE	0.00	4.27	4.44	4.44	4.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DAZAP1	IPI00165230_DAZAP1	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	2.63	0.00	3.09	0.00	0.00	0.00	2.72
U2AF2	IPI00031556_U2AF2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	4.28	5.44
PFDN2	IPI00006052_PFDN2	2.25	0.00	0.00	0.00	2.32	0.00	2.01	0.00	2.63	0.00	0.00	3.06	2.10	2.45	0.00
COL1A1	IPI00297646_COL1A1	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.59	2.10	0.00	0.00
PPP5C	IPI00019812_PPP5C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	3.06	0.00	0.00	3.26
PSMD14	IPI00024821_PSMD14	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.12	0.00	0.00	2.72
NANS	IPI00147874_NANS	0.00	0.00	0.00	0.00	3.48	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.18
RAB2A	IPI00031169_RAB2A	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	2.75	0.00	0.00	2.10	0.00	2.72
DARS	IPI00216951_DARS	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	2.45	2.72
ABCE1	IPI00303207_ABCE1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	2.72
BZW2	IPI00022305_BZW2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	6.11	2.72
CPVL	IPI00301395_CPVL	0.00	0.00	0.00	5.92	0.00	0.00	0.00	0.00	0.00	0.00	10.82	6.12	0.00	0.00	0.00
CTHRC1	IPI00060423_CTHRC1	5.62	5.13	4.44	0.00	4.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HBD	IPI00473011_HBD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	4.59	0.00	0.00	0.00
SPEN	IPI00045914_SPEN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEMA3C	IPI00019209_SEMA3C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	7.65	0.00	0.00	0.00
PSMD13	IPI00375380_PSMD13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	3.81
PSMC5	IPI00023919_PSMC5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	0.00
EIF3F	IPI01013988_EIF3F	2.25	0.00	0.00	4.44	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	2.45	3.26
TFG/ALK-fusion	IPI00297452_TFG/ALK-fusion	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
TNFRSF14	IPI00916172_TNFRSF14	4.49	0.00	3.55	7.39	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEMA4B	IPI00513964_SEMA4B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	2.18
PTPRG	IPI00796281_PTPRG	0.00	3.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GRB2	IPI00021327_GRB2	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	2.18
THBD	IPI00010737_THBD	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	2.63	0.00	0.00	0.00	0.00	0.00	2.18
RACGAP1	IPI00152946_RACGAP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	2.45	2.18
SEMA3B	IPI00012283_SEMA3B	0.00	3.42	7.11	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
ACP5	IPI00419240_ACP5	0.00	0.00	0.00	0.00	9.28	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPOCK3	IPI00478890_SPOCK3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.31	0.00	0.00	0.00
MED13	IPI00973415_MED13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PDCD5	IPI00023640_PDCD5	0.00	0.00	0.00	0.00	2.32	0.00	2.01	0.00	0.00	2.06	3.09	0.00	0.00	0.00	0.00
RNASE4	IPI00029699_RNASE4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	4.59	0.00	0.00	0.00
SH3BGRL	IPI00025318_SH3BGRL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	3.06	0.00	0.00	2.18
HAT1	IPI00024719_HAT1	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	0.00	0.00	2.45	2.72
IGSF3	IPI00042916_IGSF3	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HIST1H1E	IPI00217467_HIST1H1E	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	4.59	0.00	0.00	2.18
DDAH1	IPI00220342_DDAH1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	6.12	0.00	0.00	0.00
SCPEP1	IPI00012426_SCPEP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.50	3.81
SARS	IPI00220637_SARS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	4.89	0.00
ADAMTS3	IPI00307729_ADAMTS3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CS	IPI00025366_CS	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
TNC	IPI00220212_TNC	122.46	113.65	122.61	96.13	67.26	3.30	0.00	16.78	0.00	0.00	0.00	0.00	0.00	3.06	3.26
NRD1	IPI00243221_NRD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35
VPS29	IPI00170796_VPS29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	2.06	0.00	0.00	0.00	0.00	0.00
DDX6	IPI00030320_DDX6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.11	3.26
HLA-B	IPI00472676_HLA-B	6.74	5.98	10.66	4.44	9.28	11.55	19.09	19.57	3.95	7.55	0.00	0.00	3.15	5.50	7.62
CDH13	IPI01013272_CDH13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.50	0.00	2.18
HNRNPUL2	IPI00456887_HNRNPUL2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	3.67	4.90
VEGFA	IPI00064652_VEGFA	0.00	0.00	0.00	0.00	0.00	0.00	7.03	5.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CALD1	IPI00014516_CALD1	3.37	5.13	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
EMILIN2	IPI00012510_EMILIN2	0.00	0.00	0.00	11.83	4.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SIRPA	IPI00656087_SIRPA	0.00	3.42	0.00	4.44	10.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MMP12	IPI00298246_MMP12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.28	3.26
ADAMTS1	IPI00005908_ADAMTS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	0.00	0.00	0.00	0.00
FRYL	IPI00965359_FRYL	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NOMO2	IPI00333985_NOMO2	0.00	0.00	0.00	2.96	2.32	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PFDN5	IPI00015361_PFDN5	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	3.26
PLS1	IPI00032304_PLS1	3.37	3.42	0.00	2.96	4.64	4.95	5.02	3.73	0.00	2.06	4.64	3.06	3.15	4.28	4.35
KIAA1529	IPI00292836_KIAA1529	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
TMSB4X	IPI01013265_TMSB4X	0.00	0.00	0.00	0.00	0.00	0.00	3.01	3.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00
QDPR	IPI00014439_QDPR	0.00	3.42	0.00	0.00	2.32	0.00	2.01	0.00	2.63	0.00	3.09	0.00	0.00	0.00	0.00
